termId,termUpdate,termName,termType,termCategory,termStatus,termApproval,term_Id,termCreatedDate,termCreatedBy,termModifiedDate,termModifiedBy
"OMII0II383102785","add","Renal cyst removal","ND","","active","approved",24,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1169790765","add","RAADP","ND","","active","approved",25,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II589538549","add","Anti-D","ND","","active","approved",26,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1860962104","add","Routine antenatal anti-D prophylaxis","ND","","active","approved",27,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II555169421","add","Factor VIII","ND","","active","approved",28,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1503217921","add","Factor IX","ND","","active","approved",29,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II212313079","add","IVIG","ND","","active","approved",30,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1160077859","add","Intravenous immunoglobulin","ND","","active","approved",31,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1755343627","add","Lobectomy","ND","","active","approved",32,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1850684306","add","Pneumonectomy","ND","","active","approved",33,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1353067394","add","STDs","ND","","active","approved",34,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN356144824","add","Sexually transmitted diseases","ND","","active","approved",35,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II795959315","add","Cyclical breast pain","ND","","active","approved",36,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II782857490","add","Genital infections","ND","","active","approved",37,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1004629997","add","Caesar","ND","","active","approved",38,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1734621864","add","CS","ND","","active","approved",39,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1884984183","add","Cesarean section","ND","","active","approved",40,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II693091137","add","Temporomandibular pain","ND","","active","approved",41,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2134667982H","add","Megaloblastic anaemia","ND","","active","approved",42,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1219147286","add","Septicaemia","ND","","active","approved",43,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II574258972","add","Stomachache""","ND","","active","approved",44,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II596862322","add","Womb cancer","ND","","active","approved",45,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II436265271","add","Surgical menopause","ND","","active","approved",46,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1939541430","add","Inherited disorders","ND","","active","approved",47,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1524203194","add","Hereditary disorders","ND","","active","approved",48,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II749086259","add","Cyanosis","ND","","active","approved",49,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2057003191","add","Blushes","ND","","active","approved",50,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II548010774","add","Flushing","ND","","active","approved",51,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN592318247","add","Myocardial infarction","ND","","active","approved",52,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1148295096","add","Dietary therapy","ND","","active","approved",53,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1637030816","add","Rehydration","ND","","active","approved",54,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II578537350","add","Rehydration solutions","ND","","active","approved",55,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1963230429","add","Oral rehydration","ND","","active","approved",56,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1055824334","add","Therapeutic diet","ND","","active","approved",57,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II807519946","add","Parenteral nutrition","ND","","active","approved",58,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II394268664","add","Enteral nutrition","ND","","active","approved",59,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II28235078","add","Hypovolaemia","ND","","active","approved",60,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1617423030","add","Hypovolemia","ND","","active","approved",61,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1049221648","add","Dehydrated","ND","","active","approved",62,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II792981429","add","Exudate","ND","","active","approved",63,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2127343593","add","Secretion","ND","","active","approved",64,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II749792749","add","Discharge from the ear","ND","","active","approved",65,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1592654540","add","Discharge from the nipple","ND","","active","approved",66,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1778104580","add","Discharge from the penis","ND","","active","approved",67,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN192699504","add","Emphysema","ND","","active","approved",68,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II956004269","add","Sleepiness","ND","","active","approved",69,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2139028582","add","Feeling drowsy","ND","","active","approved",70,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1162820280","add","Feeling sleepy","ND","","active","approved",71,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1300952988","add","Severe acute respiratory syndrome","ND","","active","approved",72,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II509256694","add","Gritty eyes","ND","","active","approved",73,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II719518718","add","Sore eye","ND","","active","approved",74,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1459160858","add","CBD","ND","","active","approved",75,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1276999939","add","Neurodegeneration","ND","","active","approved",76,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2019614653","add","Sensitive to light","ND","","active","approved",77,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1435942926","add","Lump in abdomen","ND","","active","approved",78,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1341350021","add","Abdominal mass","ND","","active","approved",79,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2002145712","add","Mass in abdomen","ND","","active","approved",80,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1252082615","add","Cyst on hand","ND","","active","approved",81,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II740465812","add","Cyst on wrist","ND","","active","approved",82,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1874410036","add","Muscle symptoms","ND","","active","approved",83,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1267039414","add","Ligament symptoms","ND","","active","approved",84,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II611013398","add","Joint symptoms","ND","","active","approved",85,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2042312306","add","Sportsmen","ND","","active","approved",86,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II552097082","add","Sportswomen","ND","","active","approved",87,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1816048326","add","Footballers","ND","","active","approved",88,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II123469018","add","Rugby players","ND","","active","approved",89,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II521243523","add","Tennis players","ND","","active","approved",90,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II526686853","add","Swimmers","ND","","active","approved",91,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II287889108","add","Paraparesis","ND","","active","approved",92,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II204361610","add","Paresis","ND","","active","approved",93,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II536287826","add","Paraplegia","ND","","active","approved",94,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II792454985","add","Tetraplegia","ND","","active","approved",95,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II546512000","add","Weak muscles","ND","","active","approved",96,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II821144896","add","Feeling weak","ND","","active","approved",97,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II891031909","add","Choice in the NHS","ND","","active","approved",98,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II391222594","add","DDAVP","ND","","active","approved",99,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II842632161","add","Etopic beats","ND","","active","approved",100,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1887501538","add","Gaviscon","ND","","active","approved",101,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II913525258","add","Postnasal drip","ND","","active","approved",102,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II165626201","add","ENT surgery","ND","","active","approved",103,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II524231756","add","Flem","ND","","active","approved",104,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II51272895","add","Platelet transfusion","ND","","active","approved",105,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1758057838","add","Plasma transfusion","ND","","active","approved",106,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2106923229","add","Whole-blood transfusion","ND","","active","approved",107,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1233057383","add","Transfusions","ND","","active","approved",108,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1295657397","add","Red blood cell transfusion","ND","","active","approved",109,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II906947847","add","Hyoscine butylbromide","ND","","active","approved",110,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1293833251","add","Buscopan","ND","","active","approved",111,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1374589731","add","Color changes","ND","","active","approved",112,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1146885829","add","Early wakening","ND","","active","approved",113,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II982755089","add","Awake in the night","ND","","active","approved",114,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1872808713","add","Can't sleep","ND","","active","approved",115,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1322142303","add","Can't get to sleep","ND","","active","approved",116,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II169552251A","add","Snoring","ND","","active","approved",117,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1496983389","add","Difficulty in swallowing","ND","","active","approved",118,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II164032848","add","Can't swallow food","ND","","active","approved",119,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1504780727","add","Immune deficiency","ND","","active","approved",120,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II98995502","add","Funny taste","ND","","active","approved",121,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1341256713","add","Food addiction","ND","","active","approved",122,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II839941494","add","Drug abuse","ND","","active","approved",123,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II212464636","add","Glue sniffing","ND","","active","approved",124,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II499672847","add","Substance abuse","ND","","active","approved",125,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II677236698C","add","Addiction","ND","","active","approved",126,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1201370361","add","Drug addiction","ND","","active","approved",127,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1583251595","add","Heroin abuse","ND","","active","approved",128,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1245988047","add","Cocaine abuse","ND","","active","approved",129,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1800473367","add","Cocaine user","ND","","active","approved",130,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II61597421","add","Stopping drugs","ND","","active","approved",131,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II649290683","add","Detox","ND","","active","approved",132,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1922803004","add","Detoxification","ND","","active","approved",133,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1264485870","add","Drug detox","ND","","active","approved",134,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1444993292","add","Gambling addiction","ND","","active","approved",135,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II97603303","add","Internet Explorer","ND","","active","approved",136,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1366070519","add","Web browsers","ND","","active","approved",137,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1577369945","add","Browser settings","ND","","active","approved",138,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II870596884","add","Google Chrome","ND","","active","approved",139,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1934653408","add","Mozilla Firefox","ND","","active","approved",140,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1713496864","add","Loss of taste","ND","","active","approved",141,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1326270615","add","Bad taste","ND","","active","approved",142,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1106994930","add","Drinking fluids","ND","","active","approved",143,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2129890225","add","Drinking water","ND","","active","approved",144,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1846421261","add","Bikes","ND","","active","approved",145,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II166281629","add","Anti-hyperglycaemia drugs","ND","","active","approved",146,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2071656621","add","Statutory Maternity Pay","ND","","active","approved",147,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1695340815","add","SMP","ND","","active","approved",148,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN60734018","add","Pandemic flu","ND","","active","approved",149,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1916224098","add","Ordinary Maternity Leave","ND","","active","approved",150,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1440684701","add","Additional Maternity Leave","ND","","active","approved",151,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1001450267","add","Compulsory Maternity Leave","ND","","active","approved",152,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1047837906","add","maternity pay","ND","","active","approved",153,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2119109205","add","Herpes zoster","ND","","active","approved",154,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN971493681","add","Zoster","ND","","active","approved",155,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1575921758","add","Urinary symptoms","ND","","active","approved",156,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II588555944","add","Urine signs","ND","","active","approved",157,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1557838692","add","Glucose in urine","ND","","active","approved",158,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1133483776","add","Sugar in urine","ND","","active","approved",159,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II780207663","add","Ketonuria","ND","","active","approved",160,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II716358704","add","Involuntary trembling","ND","","active","approved",161,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II737561295","add","Trembling","ND","","active","approved",162,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II199924377","add","Quivering","ND","","active","approved",163,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2141435171","add","Shakes","ND","","active","approved",164,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1122326360","add","The shakes","ND","","active","approved",165,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II270925392","add","Shaking all over","ND","","active","approved",166,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1339399230","add","Loss of consciousness","ND","","active","approved",167,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II383919782","add","Unconscious","ND","","active","approved",168,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1216833416","add","Impaired consciousness","ND","","active","approved",169,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II647106538","add","Nocturnal urination","ND","","active","approved",170,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1405738241","add","Incontinence","ND","","active","approved",171,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II536754952","add","Vaginal symptoms","ND","","active","approved",172,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II692610180","add","Vaginal pain","ND","","active","approved",173,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1131225713","add","Dry vagina","ND","","active","approved",174,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1798706235","add","Vaginal dryness","ND","","active","approved",175,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1904109576","add","Bloody vomit","ND","","active","approved",176,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1811065348","add","Dispensing opticians","ND","","active","approved",177,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II559141387","add","Vomiting blood","ND","","active","approved",178,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II207224795","add","Can't taste","ND","","active","approved",179,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II147754281","add","Organ donation","ND","","active","approved",180,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1862571425J","add","Glasses","ND","","active","approved",181,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II568972818","add","Periods (absent)","ND","","active","approved",182,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II895738355","add","Periods (heavy)","ND","","active","approved",183,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1660146653","add","Birth to five","ND","","active","approved",184,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1541161314","add","Technology for carers","ND","","active","approved",185,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II833256994","add","Assisted living aids","ND","","active","approved",186,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II729658283","add","Food safety","ND","","active","approved",187,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1816781067","add","Food  management","ND","","active","approved",188,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1518630117","add","Healthy lifestyle","ND","","active","approved",189,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II738372886","add","Living well","ND","","active","approved",190,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1881079006","add","Sensible lifestyle","ND","","active","approved",191,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1536350980","add","Healthy living","ND","","active","approved",192,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1635561911","add","Healthy diet","ND","","active","approved",193,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II61288332","add","Sensible diet","ND","","active","approved",194,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II599782207","add","5-a-day","ND","","active","approved",195,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1721527254","add","Gym","ND","","active","approved",196,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II818239566","add","Running","ND","","active","approved",197,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1961297017","add","Playing sports","ND","","active","approved",198,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II935112297","add","Gamma hydroxybutyrate","ND","","active","approved",199,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1736527338","add","GHB","ND","","active","approved",200,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2126287232","add","Ketamine","ND","","active","approved",201,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1742983353","add","Gamma butyrolactone","ND","","active","approved",202,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1742527350","add","GBL","ND","","active","approved",203,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II648369249","add","Homophobic bullying","ND","","active","approved",204,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1325806989","add","Racism","ND","","active","approved",205,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1490571333","add","Being bullied","ND","","active","approved",206,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II769005575","add","Coping skills","ND","","active","approved",207,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN537399922","add","Cyberbullying","ND","","active","approved",208,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1386573111","add","Statins","ND","","active","approved",209,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1017607955","add","Emergency contraceptive pill","ND","","active","approved",210,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1743655027J","add","Emotional resilience","ND","","active","approved",211,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1558758997","add","Managing jealousy","ND","","active","approved",212,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1180125494","add","Overcoming jealousy","ND","","active","approved",213,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II175906318","add","Emotional health","ND","","active","approved",214,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II2044916263","add","Healthy emotions","ND","","active","approved",215,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN821119734","add","Eye care","ND","","active","approved",216,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1048514521","add","Eye safety","ND","","active","approved",217,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN2037230999","add","Contact lens safety","ND","","active","approved",218,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1411700459","add","Lifesaving","ND","","active","approved",219,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II336879332","add","Physical health","ND","","active","approved",220,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1830198689","add","African people","ND","","active","approved",221,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II282426342","add","Afro-Caribbeans","ND","","active","approved",222,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1269275708","add","African Americans","ND","","active","approved",223,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II421265643","add","Zithromax","ND","","active","approved",224,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II364843116","add","Primary prevention","ND","","active","approved",225,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II1804360209","add","Klaricid","ND","","active","approved",226,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN492260738","add","D&C","ND","","active","approved",227,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II449320774","add","Inoculations","ND","","active","approved",228,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0IIN1856196396","add","D & C","ND","","active","approved",229,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II211423903","add","Innoculations","ND","","active","approved",230,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II871528324","add","Erythroped","ND","","active","approved",231,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II622656240","add","Vaccines","ND","","active","approved",232,"20150721T14:52:24","admin","20150721T14:56:07","admin"
"OMII0II690058865","add","Immunisation","ND","","active","approved",233,"20150721T14:52:24","admin","20150721T14:56:07","admin"
